UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0  2020 ?        00:25:35 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0  2020 ?        00:00:12 [kthreadd]
root         3     2  0  2020 ?        00:00:14 [ksoftirqd/0]
root         5     2  0  2020 ?        00:00:00 [kworker/0:0H]
root         8     2  0  2020 ?        00:00:16 [migration/0]
root         9     2  0  2020 ?        00:00:00 [rcu_bh]
root        10     2  0  2020 ?        00:00:00 [rcuob/0]
root        11     2  0  2020 ?        00:00:00 [rcuob/1]
root        12     2  0  2020 ?        00:00:00 [rcuob/2]
root        13     2  0  2020 ?        00:00:00 [rcuob/3]
root        14     2  0  2020 ?        00:00:00 [rcuob/4]
root        15     2  0  2020 ?        00:00:00 [rcuob/5]
root        16     2  0  2020 ?        00:00:00 [rcuob/6]
root        17     2  0  2020 ?        00:00:00 [rcuob/7]
root        18     2  0  2020 ?        00:00:00 [rcuob/8]
root        19     2  0  2020 ?        00:00:00 [rcuob/9]
root        20     2  0  2020 ?        00:00:00 [rcuob/10]
root        21     2  0  2020 ?        00:00:00 [rcuob/11]
root        22     2  0  2020 ?        00:00:00 [rcuob/12]
root        23     2  0  2020 ?        00:00:00 [rcuob/13]
root        24     2  0  2020 ?        00:00:00 [rcuob/14]
root        25     2  0  2020 ?        00:00:00 [rcuob/15]
root        26     2  0  2020 ?        00:00:00 [rcuob/16]
root        27     2  0  2020 ?        00:00:00 [rcuob/17]
root        28     2  0  2020 ?        00:00:00 [rcuob/18]
root        29     2  0  2020 ?        00:00:00 [rcuob/19]
root        30     2  0  2020 ?        00:00:00 [rcuob/20]
root        31     2  0  2020 ?        00:00:00 [rcuob/21]
root        32     2  0  2020 ?        00:00:00 [rcuob/22]
root        33     2  0  2020 ?        00:00:00 [rcuob/23]
root        34     2  0  2020 ?        00:00:00 [rcuob/24]
root        35     2  0  2020 ?        00:00:00 [rcuob/25]
root        36     2  0  2020 ?        00:00:00 [rcuob/26]
root        37     2  0  2020 ?        00:00:00 [rcuob/27]
root        38     2  0  2020 ?        00:00:00 [rcuob/28]
root        39     2  0  2020 ?        00:00:00 [rcuob/29]
root        40     2  0  2020 ?        00:00:00 [rcuob/30]
root        41     2  0  2020 ?        00:00:00 [rcuob/31]
root        42     2  0  2020 ?        06:48:40 [rcu_sched]
root        43     2  0  2020 ?        01:46:27 [rcuos/0]
root        44     2  0  2020 ?        02:01:40 [rcuos/1]
root        45     2  0  2020 ?        01:47:23 [rcuos/2]
root        46     2  0  2020 ?        02:07:42 [rcuos/3]
root        47     2  0  2020 ?        01:42:44 [rcuos/4]
root        48     2  0  2020 ?        02:06:09 [rcuos/5]
root        49     2  0  2020 ?        01:41:20 [rcuos/6]
root        50     2  0  2020 ?        02:04:58 [rcuos/7]
root        51     2  0  2020 ?        00:00:00 [rcuos/8]
root        52     2  0  2020 ?        00:00:00 [rcuos/9]
root        53     2  0  2020 ?        00:00:00 [rcuos/10]
root        54     2  0  2020 ?        00:00:00 [rcuos/11]
root        55     2  0  2020 ?        00:00:00 [rcuos/12]
root        56     2  0  2020 ?        00:00:00 [rcuos/13]
root        57     2  0  2020 ?        00:00:00 [rcuos/14]
root        58     2  0  2020 ?        00:00:00 [rcuos/15]
root        59     2  0  2020 ?        00:00:00 [rcuos/16]
